Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C11,C12,C13,C14,C4,C5,C6,C7,C8,C9",C_0805_2012Metric,C49678,11
10k,"R12,R15,R16,R17,R3,R5",R_0805_2012Metric,C17414,6
10uF,"C1,C3",C_0805_2012Metric,C15850,2
22k,"R10,R11,R14,R8,R9",R_0805_2012Metric,C17560,5
3V3_LED,D3,LED_0805_2012Metric,C2297,1
3V3_TP,TP6,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,C238122,1
4.7k,"R13,R6,R7",R_0805_2012Metric,C17673,3
4.7uF,C2,C_0805_2012Metric,C1779,1
470,R4,R_0805_2012Metric,C17710,1
5.1k,"R1,R2",R_0805_2012Metric,C27834,2
5V_LED,D2,LED_0805_2012Metric,C2297,1
5V_TP,TP5,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,C238122,1
BOOT_BTN,SW2,SW_SPST_B3U-1000P,C231329,1
Charging LED,D1,LED_0805_2012Metric,C84256,1
Conn_01x02,"J3,J4,J5,J6,J7",PinHeader_1x02_P2.54mm_Horizontal,C86471,5
ESP32-S3-WROOM-1-N16R8,X1,ESP32S3WROOM1N8R2,C2913202,1
GND_TP,TP4,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,C238122,1
GPIOs,J8,PinHeader_2x02_P2.54mm_Vertical,C492419,1
INT_TP,TP1,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,C238122,1
MCP73831T-2ACI_OT,U1,SOT95P280X145-5N,C424093,1
MPU-6050,U3,InvenSense_QFN-24_4x4mm_P0.5mm,C24112,1
Polyfuse,F1,Fuse_0805_2012Metric,C181350,1
RST_BTN,SW3,SW_SPST_B3U-1000P,C231329,1
S2B-PH-K-S_LF__SN_,J1,JST_S2B-PH-K-S_LF__SN_,C173752,1
SCL_TP,TP2,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,C238122,1
SDA_TP,TP3,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,C238122,1
SW_SPST,SW1,SW_SPDT_Shouhan_MSK12C02,C431540,1
TLV75533PDBV,U2,SOT-23-5,C404027,1
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2988369,1
